Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12067570,19701940,25183615,25877544,26528741,27207291,27962207,28809167,29726803,30682500,31627506,..
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2992547,2970017,2947314,2927519,2913021,2904780,2900489,2897366,2894475,..
"Population, total",SP.POP.TOTL,Algeria,DZA,25912364,31183658,33749328,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334,..
"Population, total",SP.POP.TOTL,American Samoa,ASM,47044,57522,58648,57904,57031,56226,55636,55316,55227,55302,55434,..
"Population, total",SP.POP.TOTL,Andorra,ADO,54511,65399,83373,84878,85616,85474,84419,82326,79316,75902,72786,..
"Population, total",SP.POP.TOTL,Angola,AGO,11127870,15058638,18541467,19183907,19842251,20520103,21219954,21942296,22685632,23448202,24227524,..
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,61906,77648,83467,84397,85350,86300,87233,88152,89069,89985,90900,..
"Population, total",SP.POP.TOTL,Argentina,ARG,32729740,37057453,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304,42980026,..
"Population, total",SP.POP.TOTL,Armenia,ARM,3544695,3076098,3002161,2988117,2975029,2966108,2963496,2967984,2978339,2992192,3006154,..
"Population, total",SP.POP.TOTL,Aruba,ABW,62148,90858,100830,101218,101342,101416,101597,101936,102393,102921,103441,..
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,19153000,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23117353,23470118,..
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8545908,..
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7159000,8048600,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,..
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,256338,297891,335801,342259,348587,354780,360830,366711,372388,377841,383054,..
"Population, total",SP.POP.TOTL,Bahrain,BHR,495944,666855,940808,1026568,1115777,1196774,1261319,1306014,1333577,1349427,1361930,..
"Population, total",SP.POP.TOTL,Bangladesh,BGD,105983136,131280739,144839238,146592687,148252473,149905836,151616777,153405612,155257387,157157394,159077513,..
"Population, total",SP.POP.TOTL,Barbados,BRB,260374,269838,275040,276154,277315,278466,279566,280602,281580,282503,283380,..
"Population, total",SP.POP.TOTL,Belarus,BLR,10189000,10005000,9604000,9560000,9528000,9507000,9490000,9473000,9464000,9466000,9470000,..
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,10547958,10625700,10709973,10796493,10895586,11047744,11128246,11182817,11231213,..
"Population, total",SP.POP.TOTL,Belize,BLZ,187552,247312,290751,298403,306165,313925,321609,329193,336707,344193,351706,..
"Population, total",SP.POP.TOTL,Benin,BEN,5001271,6949366,8443717,8707637,8973525,9240982,9509798,9779391,10049792,10322232,10598482,..
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,64523,64888,65273,65636,65124,64564,64798,65001,65181,..
"Population, total",SP.POP.TOTL,Bhutan,BTN,535505,564187,666920,681471,694990,707830,720246,732246,743711,754637,765008,..
"Population, total",SP.POP.TOTL,Bolivia,BOL,6856246,8339512,9283345,9441482,9599916,9758799,9918245,10078238,10238762,10399931,10561887,..
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4526996,3792878,3838504,3840418,3839749,3837732,3835258,3832310,3828419,3823533,3817554,..
"Population, total",SP.POP.TOTL,Botswana,BWA,1379814,1736579,1895671,1930431,1967866,2007212,2047831,2089706,2132822,2176510,2219937,..
"Population, total",SP.POP.TOTL,Brazil,BRA,150393143,175786441,190698241,192784521,194769696,196701298,198614208,200517584,202401584,204259377,206077898,..
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,256939,330554,368150,374459,380786,387080,393302,399443,405512,411499,417394,..
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7699020,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,..
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,8811033,11607944,13834195,14264002,14709011,15165856,15632066,16106851,16590813,17084554,17589198,..
"Population, total",SP.POP.TOTL,Burundi,BDI,5613141,6767073,8218070,8514578,8821795,9137786,9461117,9790151,10124572,10465959,10816860,..
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,341256,438737,478265,481278,483824,486673,490379,495159,500870,507258,513906,..
"Population, total",SP.POP.TOTL,Cambodia,KHM,9008856,12197905,13525360,13728700,13933660,14144337,14363586,14593099,14832255,15078564,15328136,..
"Population, total",SP.POP.TOTL,Cameroon,CMR,12070359,15927713,18597109,19078100,19570418,20074522,20590666,21119065,21659488,22211166,22773014,..
"Population, total",SP.POP.TOTL,Canada,CAN,27791000,30769700,32570505,32887928,33245773,33628571,34005274,34342780,34751476,35155499,35543658,..
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,25009,41685,50028,51480,52925,54285,55509,56580,57522,58369,59172,..
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2937832,3726048,4127112,4202104,4280405,4361492,4444973,4530903,4619500,4710678,4804316,..
"Population, total",SP.POP.TOTL,Chad,TCD,5958022,8343321,10423616,10779504,11139740,11510535,11896380,12298512,12715465,13145788,13587053,..
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140669,148725,155415,156516,157587,158613,159583,160489,161336,162138,162917,..
"Population, total",SP.POP.TOTL,Chile,CHL,13141202,15170387,16279728,16462701,16645940,16829957,17015048,17201305,17388437,17575833,17762647,..
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,..
"Population, total",SP.POP.TOTL,Colombia,COL,34271563,40403959,43835744,44374647,44901660,45416276,45918101,46406446,46881018,47342363,47791393,..
"Population, total",SP.POP.TOTL,Comoros,COM,415144,547696,633814,649404,665414,681845,698695,715972,733661,751697,769991,..
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",ZAR,34962676,48048664,57926840,59834875,61809278,63845097,65938712,68087376,70291160,72552861,74877030,..
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2386467,3109269,3604595,3715665,3832771,3950786,4066078,4177435,4286188,4394334,4504962,..
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3095994,3925450,4308790,4369465,4429506,4488261,4545273,4600487,4654148,4706433,4757606,..
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,12165909,16517948,18486392,18862172,19261647,19684909,20131707,20604172,21102641,21622490,22157107,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4780000,4426000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255689,4238389,..
"Population, total",SP.POP.TOTL,Cuba,CUB,10582082,11116787,11275199,11284043,11290239,11297442,11308133,11323570,11342631,11362505,11379111,..
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,133860,141239,144056,145880,146833,148703,150831,152088,153822,155909,..
"Population, total",SP.POP.TOTL,Cyprus,CYP,766611,943287,1048293,1063040,1077010,1090486,1103685,1116644,1129303,1141652,1153658,..
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10333355,10255063,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,..
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5638530,..
"Population, total",SP.POP.TOTL,Djibouti,DJI,588356,722562,788941,799309,809639,820097,830802,841802,853069,864554,876174,..
"Population, total",SP.POP.TOTL,Dominica,DMA,70928,69679,70690,70795,70881,70995,71167,71402,71685,72005,72341,..
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,7183646,8562623,9371333,9504336,9636491,9767737,9897983,10027140,10155036,10281408,10405943,..
"Population, total",SP.POP.TOTL,Ecuador,ECU,10218085,12628596,13967490,14205479,14447600,14691310,14934692,15177280,15419493,15661312,15902916,..
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,56397273,68334905,76274285,77605327,78976122,80442443,82040994,83787634,85660902,87613909,89579670,..
"Population, total",SP.POP.TOTL,El Salvador,SLV,5252082,5811836,5967556,5986414,6004199,6021368,6038306,6055208,6072233,6089644,6107706,..
